"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mookie Betts","Red Sox","136","614","32","129","80","30","13.2 %","14.8 %",".294",".368",".346",".438",".640",".449","185","6.9","69.1","11.6","10.4","13611"
"Mike Trout","Angels","140","608","39","101","79","24","20.1 %","20.4 %",".316",".346",".312",".460",".628",".447","191","5.0","71.1","4.2","9.8","10155"
"Christian Yelich","Brewers","147","651","36","118","110","22","10.4 %","20.7 %",".272",".373",".326",".402",".598",".422","166","5.8","58.4","-5.1","7.6","11477"
"J.D. Martinez","Red Sox","150","649","43","111","130","6","10.6 %","22.5 %",".299",".375",".330",".402",".629",".427","170","-4.1","50.3","-14.7","5.9","6184"
"Lorenzo Cain","Brewers","141","620","10","90","38","30","11.5 %","15.2 %",".109",".357",".308",".395",".417",".359","124","6.4","24.6","10.7","5.7","9077"
"Aaron Judge","Yankees","112","498","27","77","67","6","15.3 %","30.5 %",".249",".368",".278",".392",".528",".391","149","1.4","30.3","2.3","5.1","15640"
"Aaron Hicks","Yankees","137","581","27","90","79","11","15.5 %","19.1 %",".219",".264",".248",".366",".467",".360","127","7.0","26.0","2.3","4.9","5297"
"Mitch Haniger","Mariners","157","683","26","90","93","8","10.2 %","21.7 %",".208",".336",".285",".366",".493",".367","138","0.1","31.1","-9.0","4.6","14274"
"Brandon Nimmo","Mets","140","535","17","77","47","9","15.0 %","26.2 %",".219",".351",".263",".404",".483",".385","149","1.9","33.8","-6.6","4.5","12927"
"Andrew Benintendi","Red Sox","148","661","16","103","87","21","10.7 %","16.0 %",".174",".328",".290",".366",".465",".357","122","4.3","21.9","-1.5","4.4","17901"
"Giancarlo Stanton","Yankees","158","705","38","102","100","5","9.9 %","29.9 %",".243",".333",".266",".343",".509",".360","127","-0.1","22.8","-5.3","4.2","4949"
"Tommy Pham","- - -","137","570","21","102","63","15","11.8 %","24.6 %",".188",".342",".275",".367",".464",".359","129","2.2","21.7","-0.7","4.0","2967"
